,Project Name,Project Description,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT,Bid Status, Base Bid 
1,HHNB Cancer Center Clinic,TI of cancer center exam rooms ,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,Lost,9490
2,Disney Niguel Cast Parking Lot,10 acre cast parking lot,Anaheim, 441 OC , Comercial , Competitive , Engineered , Rudy , Est. ,Awarded,646805
3,Parking Lot lighting vandalism repair,Repull stolen wiring,Irvine, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,13800
4,OCC Car charger power,install 4 dual car chargers,Costa Mesa, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Lost,39800
5,EMC2 new twist lock outlets,Install 4 L6-30 outlets,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2922
8,Bbraun GPS anetenna,Install CF GPS Antenna,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,4972
9,UCI Ayala Library FA Replacement,Replace existing FA system w/new,Irvine, 441 OC , Fire Alarm , Competitive , Engineered , Ron , P.M. ,Lost,679860
10,ASM Restack Budget,Furniture Restack,Anaheim, 441 OC , TI , Budget , Design/Build , Frank , Est. ,Awarded,45184
11,Newport Lido Generator Replacement,Replace 125 KW gen with 300 KVA,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,238000
12,Blizzard Switchboard CDB Upgrade,Switchgear upgrade,Irvine, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,Lost,80258
13,Blizzard TVSS replacement,Replace TVSS's,Irvine, 441 OC , TI , Select Bid List , Design/Build , Frank , Est. ,Awarded,11472
14,Eastvale San Antonio,Tenant Improvement,Eastvale, 440 RS , Hospital , Competitive , Engineered , Steve  , Est. ,Lost,453465
17,Hoag Fishback Renovation,Renovation and exterior improvement,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,Lost,231950
21,"4100 Newport Place, Spec Suite #420",Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Lost,42154
22,First American TI,Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Lost,40392
25,Mission Care Sub Acute Electrical Upgrades,Replace main service & generator,Riverside, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,Lost,230600
27,SpaceX PDP 178 service,Repairs and Maint for PDP 178,Hawthorne, 11 LA , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7835
28,SpaceX  Substation Maintinace Budget,Budget for substation Maintinace,Hawthorne, 11 LA , Comercial , Budget , Design/Build , Doyle , S.P. ,Awarded,6965
30,Space X Oven building 4160 gear power meter install,Furnish and install power meter,Hawthorne, 11 LA , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,19640
32,Thales OBEYA Room upgrade,TI for existing suite,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,5950
33,HHNB PET/MR Installation,Install new PET/MR in existing MR room,Newport Beach, 441 OC , Hospital , Competitive , Engineered , Steve  , Est. ,Awarded,173835
35,Vandelism repairs for existing building El Prado Rd Chino,Vandelism repairs,Chino, 441 OC , Comercial , Budget , Design/Build , Doyle , S.P. ,Lost,16120
36,SpaceX Wilkie  3 new machines,3 new feeders for new machines,Hawthorne, 11 LA , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,23692
41,EMC2 new 50 amp outlet for UPS,New circuit from Panel 1LF for outlet,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1966
42,EMC2 New circuits and data cable for Café,2 new circuits and data cable for Café,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1686
44,Thales Floor box for podium,Floor box for podium,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1980
45,Bbraun Data collection box installation,Conduit and install for Data boxes,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,62472
48,Bbraun Tower Control Power,New Distribuiton and 120v circuit,Irvine, 441 OC , Industrial , Select Bid List , Design/ Assist , Steve  , Est. ,Awarded,6538
51,Crate & Barrel,Tenant Improvement,Carson, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Lost,1401123
52,OCMMC Suite 1400,Office TI,Fountain Valley, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,Lost,136290
53,OCMMC Suites 5500 & 5600,Office TI,Fountain Valley, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,Lost,34400
54,Scripps Green Hospital Fire Alarm Replacment,Fire Alarm Conduit,La Jolla, 441 OC , Fire Alarm , Negotiated , Engineered , Jeff P. , Est. ,Lost,1801230
55,Mazda 6 conference room outlet,Add outlet on existing circuit,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,520
59,Los Olivos Marketplace,RFP Site & Building Electrical ,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Steve  , Est. ,Awarded,1273958
60,McKesson Box Cutter,New circuiting to box cutter machine,Sata Fe Springs, 11 LA , Comercial , Negotiated , Design/Build , Rudy , Est. ,Awarded,8210
63,OCMMC Lab Expansion,LAB EXPANSION & REMODEL,Fountain Valley, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,Lost,138135
64,The Container Store,TI construction,Oxnard, 11 LA , TI , Select Bid List , Design/Build , Jeff P. , Est. ,Lost,634800
65,Mesa Verde Gear replacment,Service change out and equip move,Costa Mesa, 441 OC , TI , Competitive , Engineered , Doyle , S.P. ,Lost,146850
66,Bbraun Inject heater circuit,extend circuit to new inject heater,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4382
67,Patio canopy lighting and outlets,Connect wiring for canopy,Trabuco Canyon, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,1990
68,SpaceX Marine Service and power ,New service and marine outlet,Hawthorne, 11 LA , Comercial , Select Bid List , Engineered , Doyle , S.P. ,Awarded,71812
69,Deutche Bank LA load bank test ,Furnish and load bank test UPS unit,Los Angeles, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2393
70,Chapman Letherby LED retrofit,Retrofit 116 cans with CF LED,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,8400
71,Hoag Irvine - MOB Temp Lighting,Temp lighting for MOB's - Budget,Irvine, 441 OC , Comercial , Budget , Design/Build , Bill , Est. ,Awarded,100000
73,Chapman Oliphant Lobby Fixture Replacment,Install new customer furnished fixture,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2450
74,Brown Foreman TV wall outlets,Install (5) new outlets on existing circuit ,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,1650
78,Bbraun cooling tower inlet valve rewire,Rewire new circuits to 3 selenoid valves,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3989
80,Thales Butterfly Lab,Tenant Improvement,Irvine, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,9966
81,Epson conference room fixture,Add one fixture per direction,Long Beach, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,750
82,Snell and Wilmer Plaza,Tenant Improvement,Costa Mesa, 441 OC , TI , Budget , Design/Build , Frank , Est. ,Awarded,80545
83,Kaiser Pump replacement project,Replace 9 pumps,Pasadena, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,6484
86,California City Correctional Center,Lock controls & intercom replacement,California City, 441 OC , Specialty , Competitive , Engineered , Steve  , Est. ,Lost,479800
87,Kaiser Riverside new power outlets,Add noew power outlets,Riverside, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Lost,6700
88,Building 1100,New commercial shell,Oxnard, 11 LA , Comercial , Competitive , Engineered , Rudy , Est. ,Lost,392246
89,"Cheese Cake Factory, Fucking Santa Monica",Restaurant ,Santa Monica, 11 LA , Comercial , Select Bid List , Engineered , Steve  , Est. ,Awarded,680260
92,Pacific Life - HR Dept,Tenant Improvement,Newport Beach, 441 OC , TI , Select Bid List , Design/Build , Rudy , Est. ,Lost,31180
94,Bbraun Vessel 10 demo,demo boiler vessel #10,Irvine, 441 OC , Industrial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6990
98,Greenlaw IR repairs,Repairs for IR study,Tustin, 441 OC , TI , Select Bid List , Engineered , Doyle , S.P. ,Awarded,1500
99,NECA Pole locks,Pole locks for 12 parking lot poles,Orange, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,2700
101,Outlet for car charger,Add Nema 14-50 outlet,Tustin, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,1245
104,Deutche Bank LA IR scan,Remove and reinstall covers,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2100
106,UCIMC CT Prep & Waiting Room,Waiting Room Remodel,Orange, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,Lost,79450
107,24 Hour Fitness,Fire Alarm conduit and Install,Santa Ana, 441 OC , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,Lost,28750
108,Bbraun Duplex VFD change out,R&R 3 customer furnished VFD ,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4285
109,Prologis T.I.,Design Build Tenant Improvement,Cerritos, 11 LA , TI , Negotiated , Design/Build , Frank , Est. ,Awarded,244650
110,FMC South Bay Home,TI for FMC Dialysis training center,Harbor City, 11 LA , TI , Competitive , Engineered , Rudy , Est. ,Lost,292285
112,Stifel,Office shell T.I.,Newport Beach, 441 OC , TI , Competitive , Engineered , Rudy , Est. ,Lost,264895
114,Southpark Phase 3,T.I.,Fountain Valley, 441 OC , TI , Select Bid List , Design/Build , Rudy , Est. ,Lost,657427
115,Chevron Fire Training,Fire Alarm Upgrade,El Segundo, 11 LA , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,Awarded,19750
118,Bbraun Duplex VFD conduit and cable for 3 motors,New conduit for P1 P2 and P5 pumps,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7000
119,Tustin Eastern Little League Lighting repair,Repull stolen wiring,Tustin, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2500
123,SpaceX Tooling Weld Shop office TI,TI for Tooling Weld shop,Hawthorne, 11 LA , TI , Select Bid List , Engineered , Doyle , S.P. ,Lost,24348
125,"Blizzard B7 Sound Rooms 132, 133, 138 & 139",Tenant Improvement,Irvine, 441 OC , TI , Competitive , Engineered , Frank , Est. ,Awarded,3100
126,Bbraun new light fixture install for existing line,Wire customer furnished fixtures,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2340
127,Mazda 40 amp circuit for new machine,New circuit for machine,Irvine, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3692
128,Marina Del Rey Emergency Generator Replacement,Adding second generator ,Marina Del Rey, 11 LA , Hospital , Select Bid List , Design/Build , Rudy , Est. ,Lost,163270
131,Space X Cerise Building,4000A Service Upgrade,Hawthorne, 11 LA , TI , Select Bid List , Engineered , Frank , Est. ,Lost,258231
132,Space X Wilkie Service Upgrade,3000 A Service Upgrade,Hawthorne, 11 LA , Site , Select Bid List , Engineered , Doyle , S.P. ,Lost,141270
134,Hoag 2 West Electrical Infrastructure Upgrade,Electrical ifrastructure upgrade,Newport Beach, 441 OC , Hospital , Select Bid List , Engineered , Rudy , Est. ,Awarded,33690
135,Caremore TI 2 offices convert to 3,Electrical ti 2 offices to 3,Cerritos, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,3870
136,Hoag Dolphin Sturcture booth removal,Add j box to replace man booth,Newport Beach, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1980
137,Troubleshoot loud 1st floor Transformer,Troubleshoot loud transformer,Irvine, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,240
141,AAA LA Work Space TI,Rework electrical for new lay out,Los Angeles, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,7000
142,Baxter LA UV Cable Replacement,Labor to install customer furnished cable,Los Angeles, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,1935
143,Tesla Stationary Storage System - San Bernardino,Stationary Storage Units,San Bernardino, 477 SB , Comercial , Negotiated , Engineered , Frank , Est. ,Lost,322947
147,LLUMC Replacement of Radiology Rooms,Radiology room upgrade,Loma Linda, 441 OC , Hospital , Competitive , Engineered , Rudy , Est. ,Lost,124638
150,Stanton Trailer service rework,Rework main service and panel,Stanton , 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6715
151,Hudson Pacific 11601 Wilshire Blvd 9th and 10th Floor,Tenant Improvement,Los Angeles, 11 LA , TI , Select Bid List , Engineered , Rudy , Est. ,Lost,1447923
153,Edwards LS T&D Building,Second floor TI,Irvine, 441 OC , TI , Competitive , Engineered , Steve  , Est. ,Lost,605753
159,Marina Del Rey Hospital Nursing Unit & HVAC Upgrades ,Nursing unit upgrades,Marina Del Rey, 11 LA , Hospital , Competitive , Engineered , Rudy , Est. ,Lost,82871
161,College Hospital Add New Misc Outlets,Add new outlets per direction,Costa Mesa, 441 OC , Hospital , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,5000
162,Epson cart charger outlets,New conduit and outlets for golf carts,Long Beach, 441 OC , Parking Structure , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,2490
164,Time Warner Lot Replace parking lot pole,Furnish and install replacement 30' pole,Santa Ana, 441 OC , Site , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,4972
166,County of Orange Server Room,Server Room,Orange, 441 OC , TI , Select Bid List , Engineered , Jeff P. , Est. ,Lost,31148
167,Yorba Linda Water District gate power,New conduit for new gates,Placentia, 441 OC , Site , Select Bid List , Engineered , Doyle , S.P. ,Awarded,2850
169,Round 1 Bolwing & amusement,Fire alarm,Santa Ana, 441 OC , Fire Alarm , Select Bid List , Engineered , Ron , P.M. ,Awarded,20000
171,Spectrum Giant Wheel LED Upgrade,LED Upgrade,Irvine, 441 OC , Specialty , Competitive , Design/Build , Steve  , Est. ,Awarded,182416
172,Sandvik Coromant outlet for MPOE backboard,Add new circuit and outlet at MPOE,Cypress, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Lost,3674
173,OCC Drama Lab 2 Lighting replacement,Replace fixtures in Drama Lab 2,Costa Mesa, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,6733
176,Operating Enginners Workshop Lighting,Lighting upgrade for workshop,Whittier, 441 OC , TI , Select Bid List , Design/Build , Doyle , S.P. ,Awarded,9600
