Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
11-001,St Jude Canopy Project,New main entry canopy,101 E. Valincia Mesa,Fullerton,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Doyle , Est. , CA ,9/9/2010, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,PDC,Jim Clifford,,,,,,,,,,,,,,,,,,,,,
11-002,Kaiser Baldwin Park Backfill- Ph. 1,Remodel project,1011 Baldwin Park Blvd.,Baldwin Park,CA, 11 LA ," 15,000 ", Hospital , Select Bid List , Engineered , Rudy , Est. , CA ,9/21/2010," $433,575 "," $6,300 "," $7,200 "," $10,950 "," $109,000 ",,,10.00%,2.00%,,Awarded,100%, $- ,,,,,,,Swinerton,Dennis Hern,Swinerton,Dennis Hern,,,,,,,,,,,,,,,,,,,,,
11-003,Corelogic Print/Media Room Expan,Remodel project,9 First American Way,Santa Ana,CA, 441 OC ,, TI , Select Bid List , Design/Build , Frank , Est. , CA ,10/2/2010," $3,414 ",,,,,,,,,,Not Built,0%, $- ,,,,,,,,,Lutzki ,Rick Lutzky,,,,,,,,,,,,,,,,,,,,,
11-004,Church Scientology ,Renovation of existing historic structure,505 N. Sycamore,Santa Ana,CA, 441 OC ," 52,723 ", TI , Competitive , Engineered , Doyle , Est. , CA ,9/7/2010, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-005,MLK Hospital,Renovation of existing hospital,,Los Angeles,CA, 11 LA ," 15,000 ", Hospital , Select Bid List , Design/Build , Jeff P. , Est. , CA ,12/17/2010," $37,653,500 ",,,,,,,,,,Lost,0%, $- ,,,,,,,Hensel Phelps,,Swinerton,Greg Hurlock,,,,,,,,,,,,,,,,,,,,,
11-006,Disney West Side Diner 2nd Fl TI,,,Anaheim,CA, 441 OC ,, TI , Select Bid List , Engineered , Doyle , Est. , CA ,9/15/2010," $45,942 ",,,,,,,,,,Awarded,100%, $- ,,,,,,,RMC,,RMC,,,,,,,,,,,,,,,,,,,,,,
11-007,Hoag Stress Lab,Remodel project,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Select Bid List , Engineered , Rudy , Est. , CA ,9/24/2010," $11,000 "," $17,895 "," $6,240 ",,,,,,,,Awarded,100%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-008,Baxter Replace Conduits in Rm. 416,Repair,4501 Colorado Blvd,Los Angeles,CA, 11 LA ,, Industrial , Select Bid List , Design/Build , Frank , Est. , CA ,9/17/2010," $6,945 ",,,,,,,15.00%,10.00%,,Awarded,100%, $- ,,,,,,,Baxter,Tim Holder,Baxter,Tim Holder,,,,,,,,,,,,,,,,,,,,,
11-009,First Republic Bank,,,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Dan , P.M. , CA ,9/24/2010, $- ,,,,,,,,,,Not Bid,0%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-010,Whittier Hospital Service Replacement,,,Whittier,CA, 11 LA ,, Hospital , Select Bid List , Engineered , Rudy , Est. , CA ,10/1/2010," $722,000 ",,,,,,,,,,Lost,1%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
