Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date,  Base Bid  , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments,
15-001,Hoag Irvine ED Expansion,Emergency Department Expansion,16200 Sand Canyon,Irvine,CA, 441 OC ," 11,091 ", Hospital , Select Bid List , Engineered , Rudy , Est. , CA ,4/15/2015," $630,385 ", $56.84 ," $56,615 "," $6,911 ",,,,,,,,Awarded,20%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-002,HHNB Cancer Center Clinic,TI of cancer center exam rooms ,1 Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Competitive , Engineered , Rudy , Est. , CA ,9/4/2014," $9,490 ",#DIV/0!," $1,940 ",,,,,,,,,Lost,, $- ,,,,,,,Miles & Kelly,,DEB,Chris Hunter,Miles & Kelly,Le Phu,,,,,,,,,,,,,,,,,,,,
15-003,Disney Niguel Cast Parking Lot,10 acre cast parking lot,,Anaheim,CA, 441 OC ,, Comercial , Competitive , Engineered , Rudy , Est. , CA ,9/8/2014," $646,805 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,Whiting Turner,,Whiting Turner,Mark Dupray,,,,,,,,,,,,,,,,,,,,,,
15-004,Parking Lot lighting vandalism repair,Repull stolen wiring,17531 Von Karman,Irvine,CA, 441 OC ,, Site , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/4/2014," $13,800 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-005,OCC Car charger power,install 4 dual car chargers,Fairview and Adams,Costa Mesa,CA, 441 OC ,, Comercial , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/4/2014," $39,800 ",#DIV/0!,,,,,,,,,,Lost,2%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-006,EMC2 new twist lock outlets,Install 4 L6-30 outlets,Dupont,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/3/2014," $2,922 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-007,Hoag Irvine- Misc emergency power,,,Irvine,CA, 441 OC ,, Hospital , Negotiated , Engineered , Jeff S. , P.M. , CA ,9/3/2014," $38,983 ",#DIV/0!,,,,,,,,,,Awarded,5%, $- ,,,,J-15-152," $31,337 ",,,,,,,,,,,,,,,,,,,,,,,,,,,
15-008,Thales Big Bird,Small office remodel & 400hz,,Irvine,CA, 441 OC ,, Comercial , Select Bid List , Engineered , Doyle , S.P. , CA ,9/12/2014," $23,923 ",#DIV/0!,,,,,,,,,,Unknown,2%, $- ,,,,,,,,,Turelk,Craid Powell,,,,,,,,,,,,,,,,,,,,,,
15-009,Bbraun GPS anetenna,Install CF GPS Antenna,2525 MacGaw,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/8/2014," $4,972 ",#DIV/0!,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-010,UCI Ayala Library FA Replacement,Replace existing FA system w/new,UCI,Irvine,CA, 441 OC ," 193,000 ", Fire Alarm , Competitive , Engineered , Ron , P.M. , CA ,9/19/2014," $679,860 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,UC Irvine,Joe Kuttel,,,,,,,,,A&H," $618,624 ",Westside," $659,000 ",Best," $677,000 ",Jam," $692,500 ",Gamma," $1,293,001 ",,,,
15-011,ASM Restack Budget,Furniture Restack,1400 So. Douglass Road,Anaheim,CA, 441 OC ,, TI , Budget , Design/Build , Frank , Est. , CA ,9/12/2014," $45,184 ",#DIV/0!," $9,763 ",,,,,,,,,Awarded,70%, $- ,,,,,,,,,HBC,Jim Scarpinato,,,,,,,,,,,,,,,,,,,,,,
15-012,Newport Lido Generator Replacement,Replace 125 KW gen with 300 KVA,351 Hospital Road,Newport Beach,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/12/2014," $238,000 ",#DIV/0!,,,,,,,,,,Awarded,75%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-013,Blizzard Switchboard CDB Upgrade,Switchgear upgrade,,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Frank , Est. , Ca ,9/17/2014," $80,258 ",#DIV/0!,,,,,,,,,,Lost,50%, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-014,Blizzard TVSS replacement,Replace TVSS's,,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Frank , Est. , CA ,9/16/2014," $11,472 ",#DIV/0!,,,,,,,,,,Awarded,50%, $- ,,,,,,,,,,John Robertson,,,,,,,,,,,,,,,,,,,,,,
15-015,Eastvale San Antonio,Tenant Improvement,12442 Limonite Ave,Eastvale,CA, 440 RS ," 24,453 ", Hospital , Competitive , Engineered , Steve  , Est. , CA ,9/26/2014," $453,465 ", $18.54 ," $(14,727)",,,,,,,,,Lost,, $- ,,,,,,,,,Lusardi,Marie Nagtalon,,,,,,,,,Prime," $447,000 ",Sass," $449,500 ",,,,,,,,,,
