Est. #,Project Name,Project Description,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
19-001,COH - Fox North Renovation,Office/Laboratory TI,1500 East Duarte Rd.,Duarte,CA, 441 OC ," 18,162 ", TI , Select Bid List , Engineered , Steve  , Est. , CA ,9/4/2018," $558,438 ", $30.75 ,,,,,,,,,,Lost,, $- ,,,,,,,,,Cannon,Eliot Hansen,,,,,,,,,,,,,,,,,,,,,
19-002,The Schools First Credit Union,New Construction,,Tustin,CA, 441 OC ," 180,000 ", Comercial , Negotiated , Design/ Assist , Frank , Est. , CA ,8/28/2018," $24,897 ",," $16,252 ",,,,,,,,,Lost,30%, $- ,,,,,,,,,Snyder Langston,G. Lundt,Swinerton,Chris Spencer,,,,,,,,,,,,,,,,,,,
19-003,"B-Braun Medical, TCU Skid",Roof Mounted TCU,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Competitive , Engineered , Brian , S.P. , CA ,9/7/2018," $42,429 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-004,Blizzard B15 QA Phase 2,Office Tenant Improvement,16251 Laguna Canyon Rd,Irvine,CA, 441 OC ," 8,031 ", TI , Competitive , Engineered , Steve  , Est. , CA ,9/5/2008," $121,497 ", $15.13 ,,,,,,,,,,Unknown,, $- ,,,,,,,,,HBC,J. Turner,,,,,,,,,,,,,,,,,,,,,
19-005,PSPH Pharmacy,Pharmacy Remodel,1300 W. 7th St.,San Pedro,CA, 11 LA ," 1,097 ", Hospital , Competitive , Engineered , Don V , Est. , CA ,9/12/2018," $185,941 ",,,,,,,,,,,Unknown,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-006,"B-Braun Medical, Valencia ",Exterior Light Study,1200 Valencia ,Tustin,CA, 441 OC ,, Industrial , Budget , Design/Build , Brian , S.P. , CA ,8/30/2018," $3,600 ",#DIV/0!,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-007,OCC Art Building TI room 322,New lighting and outlets,3333 Fairview ,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,10/8/2018," $21,870 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-008,Medtronics,Office Tenant Improvement,5290 California Ave,Irvine,CA, 441 OC ," 96,017 ", TI , Competitive , Engineered , Steve  , Est. , CA ,9/12/2018," $1,543,523 ", $16.08 ,,,,,,,,,,Lost,, $- ,,,,,,,,,Turelk,C. Powell,Snyder Langston,Larry Witten,,,,,,,,,,,,,,,,,,,
19-009,B-Braun Medical-Duplex,Assist Siemens,2525 McGaw Ave,Irvine,CA, 441 OC ,, Industrial , Negotiated , Design/Build , Brian , S.P. , CA ,9/5/2018," $7,040 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-010,Wewalk Irvine - The Boardwalk,Office Tenant Improvement,18565 & 18575 Jamboree Rd.,Irvine,CA, 441 OC ," 60,271 ", TI , Select Bid List , Engineered , Frank , Est. , CA ,9/12/2018," $773,939 ", $12.84 ," $2,263 "," $1,810 ",,,,,13.00%,3.00%,,Lost,30%, $- ,9/17/2018,2/1/2019,9/14/2018,,,,,,HBC,Pete Cali,Turelk,Craig Powell,,,,,,,Nazareno,,Sunwest,,AJK,,,,,,,,
19-011,AeRobotix - GKN,Robotic Booth,Garden Grove,Garden Grove,CA, 441 OC ,, Industrial , Select Bid List , Design/ Assist , Brian , S.P. , CA ,9/6/2018," $6,430 ",,,,,,,,,,,Lost,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-012,AAA starter replacement,Replace 3 starters and pilot lights,3350 Harbor Blvd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/7/2018," $2,472 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-013,Blizzrd B1 Restroom / Breakroom Remodel,"Restroom, Traning, Copy/Pring, Lounge",One Blizzard Way,Irvine,CA, 441 OC , 610 , TI , Budget , Engineered , Jeff P. , Est. , CA ,9/12/2018," $68,823 ",,,,,,,,,,,Not Built,10%, $- ,,,,,,,,,HBC,Trevor Caudill,,,,,,,,,,,,,,,,,,,,,
19-014,B|Braun Medical Components Office,TI Remodel,2525 McGaw Ave,Irvine,CA, 441 OC ,, TI , Select Bid List , Design/Build , Brian , S.P. , CA ,9/13/2018," $15,875 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
