Est. #,Project Name, ,Street Address,City,State,Local,SQ. FT.,Project Type,Bid Type,Design Type,Estimator,DEPT,Div.,Bid Date, Base Bid , Cost SF ,Alt. #1,Alt #2,Alt. #3,Alt #4,Alt. #5,Alt #6,Overhead,Profit,MU $ Bid,Bid Status,Probability,Projection,Start Date,Comp. Date,Award Date,Job #,Contract $,MU $ Contract,GC Awarded,GC Awarded Est./PM.,GC #1,GC #1 Est./PM.,GC #2,GC #2 Est./PM.,GC #3,GC #3 Est./PM.,GC #4,GC #4 Est./PM.,GC #5,GC #5 Est./PM.,EC #1, EC #1 $ ,EC #2, EC #2 $ ,EC #3, EC #3 $ ,EC #4, EC #4 $ ,EC #5, EC #5 $ ,EC #6, EC #6 $ ,Bid Results Comments
20-001,HHI Emergency Generator MTS,OSHPD Switchgear Modifications,16200 Sand Canyon Ave,Irvine,CA, 441 OC ,, Hospital , Budget , Design/Build , Frank ,, CA ,9/4/2019," $208,321 ",,,,,,,,20.00%,10.00%,,Pending,30%," $62,496 ",,,,,,,,,Hoag,G. Simpson,,,,,,,,,,,,,,,,,,,,,
20-002,Chevron - ENAR,Chevron FA,Chevron El Segundo,El Segundo,CA, 11 LA ,, Fire Alarm , Competitive , Engineered , Ron , P.M. , CA ,9/4/2019," $30,800 ",,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-003,Barlow Respiratory Hospital ,OSHPD Hospital Upgrades (Generator),2000 Stadium Way,Los Angeles,CA, 11 LA ,, Hospital , Budget , Engineered , Frank , Est. , CA ,9/5/2019," $1,381,468 ",,,,,,,,15.00%,5.00%,,Pending,20%," $276,294 ",,,,,,,,,Snyder Langston,S. Butcher,,,,,,,,,,,,,,,,,,,,,
20-004,Epson Carson Add 10 warehouse lights,Add 10 warehouse lights,1650 Glenn Curtiss,Carson,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/8/2019," $6,800 ",," $1,400 ",,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-005,"B|Braun Medical, Re-work",Lighting and Power,2525 McGaw Avenue,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Design/Build , Brian , S.P. , CA ,9/11/2019," $39,293 ",,,,,,,,15.00%,5.00%,,Pending,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-006,HHNB Cancer Center 1st Floor Linac Replacement,OSHPD Tenant Improvement,One Hoag Drive,Newport Beach,CA, 441 OC ,, Hospital , Competitive , Engineered , Josh  , Est. , CA ,11/5/2019," $342,688 ",,,,,,,,,,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-007,AMS Kaiser Permanente,Battery Storage,6670 Alton Parkway,Irvine,CA, 441 OC ,, Industrial , Select Bid List , Engineered , Brian , S.P. , CA ,9/27/2019,,,,,,,,,,,,,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-008,Epson Parking Lot Budget,Site Lighting,Unknown,,CA,,, Site , Budget , Engineered , Frank , Est. , CA ,9/18/2019," $109,891 ",,,,,,,,15.00%,10.00%,,Pending,10%," $10,989 ",,,,,,,,,TK1SC,Ron Z,,,,,,,,,,,,,,,,,,,,,
20-009,AAA Check Cashier Room new equipment,5 new circuits,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/19/2019," $14,600 ",,,,,,,,15.00%,10.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-010,AAA Cafeteria Temp power for walkway,Temp power for 4 months for food serve,3333 Fairview Rd,Costa Mesa,CA, 441 OC ,, TI , Select Bid List , Design/Build , Doyle , S.P. , CA ,9/19/2019," $9,500 ",,,,,,,,15.00%,10.00%,,Awarded,, $- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
