,Project Name,City,Local,Project Type,Bid Type,Design Type,Estimator,DEPT, Base Bid ,Bid Status
0,SJMC Plaza II Site Improvements,Fullerton , 441 OC , Site , Select Bid List , Engineered , Rudy , Est. ,41230,Awarded
1,B. Braun Viral Segregation,Los Angeles, 441 OC , Industrial , Select Bid List , Engineered , Frank , Est. ,141095,Awarded
2,Murrieta Education Center,Murrieta, 440 RS , Shell , Competitive , Engineered , Rudy , Est. ,1432619,Lost
3,Chapman Hashinger MCC,Orange, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , Est. ,68920,Awarded
4,Tenet Healthcare,Anaheim, 441 OC , TI , Competitive , Engineered , Jody , Est. ,63100,Lost
5,Hoag Sand Cnayon Fire Alarm Conduit,Irvne, 441 OC , TI , Competitive , Engineered , Doyle , Est. ,442735,Awarded
6,SCE AGOC,Alhambra, 11 LA , Specialty , Competitive , Design/Build , Frank , Est. ,1498950,Lost
8,Northrop Grumman 10K Clean Room,Azusa, 11 LA , TI , Competitive , Engineered , Rudy , Est. ,195040,Lost
10,Hoag Hospital Irvine,Irvne, 441 OC , Hospital , Competitive , Engineered , Jody , Est. ,1798832,Awarded
11,LATCC Library Swing,Los Angeles, 11 LA , Comercial , Competitive , Engineered , Jody , Est. ,576000,Lost
12,Hoag Ancillary Review,Newport Beach, 441 OC , Hospital , Negotiated , Engineered , Jeff P. , Est. ,200000,Awarded
13,San Antonio Community Hospital SU,Upland, 477 SB , Hospital , Competitive , Design/Build , Jeff P. , Est. ,1279400,Awarded
14,Tha Alhambra,Alhambra, 11 LA , Comercial , Competitive , Engineered , Frank , Est. ,210809,Lost
15,MGE Relocated Line Up Bidget,Costa Mesa, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , Est. ,199200,Lost
16,Spectrolab,Sylmar, 11 LA , TI , Budget , Engineered , Doyle , Est. ,1266990,Lost
17,Chapman Knott Feed and Misc,Orange, 441 OC , Comercial , Select Bid List , Design/Build , Doyle , Est. ,14082,Awarded
18,B Braun Exceed Line 1,Irvne, 441 OC , Industrial , Competitive , Engineered , Rudy , Est. ,2724515,Lost
